tweet_number,word,tf-idf_score
9,WeAreWinter,0.1699603208164066
9,bars,0.3225579577409622
9,decision,0.3225579577409622
9,gold,0.24125716662453436
9,home,0.21494362217255084
9,morning,0.27757465638481793
9,oliviachow,0.3225579577409622
9,sunday,0.30807656923363447
9,watch,0.27757465638481793
9,win,0.26309326787749027
10,CDNOlympicTeam,0.23896412126995428
10,Charle,0.288085945437981
10,Cournoyer,0.288085945437981
10,RT,0.12561480243734202
10,Short,0.28341243059436805
10,WeAreWinter,0.21413375644205104
10,bringing,0.288085945437981
10,bronze,0.2789916647930795
10,home,0.2708084158583572
10,http,0.2723139367382734
10,qkmdep8Lha,0.288085945437981
10,skater,0.288085945437981
10,speed,0.28341243059436805
10,track,0.28341243059436805
11,TeamCanada,1.0
12,AbdouSall,0.34453869088775924
12,But,0.34453869088775924
12,Doesn,0.34453869088775924
12,GoCanadaGo,0.15789186300110503
12,Im_Partial,0.34453869088775924
12,Tough,0.34453869088775924
12,game,0.20445955515155712
12,matter,0.31987197950853974
12,play,0.34453869088775924
12,teamboro,0.34453869088775924
13,CDNOlympicTeam,0.23896412126995428
13,Charle,0.288085945437981
13,Cournoyer,0.288085945437981
13,RT,0.12561480243734202
13,Short,0.28341243059436805
13,WeAreWinter,0.21413375644205104
13,bringing,0.288085945437981
13,bronze,0.2789916647930795
13,home,0.2708084158583572
13,http,0.2723139367382734
13,qkmdep8Lha,0.288085945437981
13,skater,0.288085945437981
13,speed,0.28341243059436805
13,track,0.28341243059436805
14,2nd,0.2829097459241941
14,CIF,0.2829097459241941
14,Finals,0.2626552629484235
14,FunkyBoiRUIZ,0.2829097459241941
14,Made,0.2829097459241941
14,Semi,0.2829097459241941
14,ayeyodominic,0.2829097459241941
14,day,0.24828447857662844
14,goingforgold,0.2829097459241941
14,luck,0.2829097459241941
14,robert_skorheim,0.2829097459241941
14,tomorrow,0.2626552629484235
14,wish,0.2829097459241941
15,AdamWylde,0.27580310236472466
15,Dear,0.26071295389915256
15,Ikea,0.27580310236472466
15,RT,0.08058571724890483
15,Swedes,0.27580310236472466
15,TeamCanada,0.19888748548222535
15,You,0.27580310236472466
15,assemble,0.27580310236472466
15,bookshelf,0.27580310236472466
15,hate,0.26071295389915256
15,inspiration,0.27580310236472466
15,ll,0.23944458417831435
15,need,0.27580310236472466
15,send,0.27580310236472466
15,welcome,0.27580310236472466
16,WeAreWinter,0.25794642853387817
16,apparently,0.5578122862297605
16,bykevintran,0.5578122862297605
16,hashtag,0.5578122862297605
17,Olympics2014,0.45426227317834295
17,Woo,0.6299388014588578
17,hoo,0.6299388014588578
18,24LD3vmlvG,0.9593874634961448
18,http,0.2820916427093033
19,CDNOlympicTeam,0.23896412126995428
19,Charle,0.288085945437981
19,Cournoyer,0.288085945437981
19,RT,0.12561480243734202
19,Short,0.28341243059436805
19,WeAreWinter,0.21413375644205104
19,bringing,0.288085945437981
19,bronze,0.2789916647930795
19,home,0.2708084158583572
19,http,0.2723139367382734
19,qkmdep8Lha,0.288085945437981
19,skater,0.288085945437981
19,speed,0.28341243059436805
19,track,0.28341243059436805
20,CDNOlympicTeam,0.23896412126995428
20,Charle,0.288085945437981
20,Cournoyer,0.288085945437981
20,RT,0.12561480243734202
20,Short,0.28341243059436805
20,WeAreWinter,0.21413375644205104
20,bringing,0.288085945437981
20,bronze,0.2789916647930795
20,home,0.2708084158583572
20,http,0.2723139367382734
20,qkmdep8Lha,0.288085945437981
20,skater,0.288085945437981
20,speed,0.28341243059436805
20,track,0.28341243059436805
21,Hp1jVA3Cah,0.64903897087154
21,RT,0.17606292055909586
